CUSTOMER_ID,CUSTOMER_TYPE
362204699,Registered
269612955,Registered
585330633,Guest
950661333,Registered
434985772,Guest
126084616,Registered
426992703,Guest
772568272,Registered
715522716,Guest
591908874,Registered
407704308,Guest
347948,Registered
44862318,Registered
562646963,Registered
568225368,Registered
759142214,Registered
455678245,Registered
678310045,Guest
324063820,Registered
260732565,Registered
2967423,Registered
46935568,Guest
439230654,Registered
498503215,Registered
621568826,Guest
924317142,Registered
730373499,Guest
871796086,Registered
833965205,Registered
755514614,Registered
108136894,Guest
733942755,Registered
676817956,Registered
262160300,Registered
154804732,Guest
557067049,Guest
605036396,Guest
365533217,Registered
742386622,Guest
294444741,Guest
682386951,Registered
48106853,Registered
142508568,Registered
381866711,Registered
208973342,Registered
718426788,Guest
909179535,Guest
81149342,Guest
793923606,Guest
100631778,Registered
664798741,Registered
328847387,Registered
658739319,Registered
379854679,Guest
34075893,Registered
753654732,Guest
83029600,Guest
327462971,Registered
43207144,Registered
370212032,Guest
133534940,Guest
201665570,Registered
640772750,Registered
999670756,Guest
850100442,Guest
258072681,Registered
636856627,Guest
286473210,Guest
668953941,Guest
442216989,Registered
905915206,Registered
22488616,Registered
312150808,Registered
267260137,Registered
523956385,Guest
753673465,Registered
139420880,Registered
463436059,Registered
500197089,Registered
906535673,Guest
659138663,Registered
349863546,Registered
64930571,Registered
19746506,Registered
494805759,Registered
294200988,Registered
882627723,Registered
48439031,Registered
730630180,Registered
834940142,Registered
963197755,Registered
727020041,Guest
422128600,Registered
106988820,Registered
477471749,Guest
542114694,Registered
326410695,Registered
245838753,Guest
531231832,Registered
686768264,Guest
19003938,Registered
558578240,Registered
273412068,Registered
136132915,Registered
124420570,Guest
896768280,Guest
207749415,Guest
956329493,Guest
355441795,Registered
699150544,Guest
471340694,Registered
414052999,Registered
174116833,Registered
465855656,Registered
785470958,Guest
229017541,Guest
848542762,Registered
45412217,Registered
413453039,Registered
371858769,Guest
714140023,Registered
804926463,Registered
585904249,Registered
797297063,Guest
725264480,Registered
956505838,Guest
775003089,Registered
112961040,Guest
817831142,Registered
936104490,Registered
702797703,Registered
30359573,Registered
167311044,Registered
166752216,Registered
883565495,Registered
528160921,Registered
853191046,Guest
44294548,Registered
456989209,Registered
933791728,Registered
452982472,Guest
124540445,Registered
692456574,Registered
17759000,Registered
492741378,Registered
477557017,Registered
410903497,Guest
639116044,Registered
268732816,Registered
138359372,Registered
960494385,Registered
442821772,Guest
468336556,Registered
82292936,Registered
17159121,Guest
343544560,Registered
624762612,Registered
460003338,Registered
520474538,Registered
36731341,Guest
621924576,Registered
995868240,Guest
112216762,Registered
821813139,Registered
215396861,Registered
953802544,Registered
446456404,Registered
79869971,Registered
572608961,Registered
595217084,Guest
33575338,Registered
927149357,Registered
77642149,Registered
61598113,Registered
273296720,Registered
195221322,Registered
515528853,Registered
723917381,Registered
590247404,Registered
136995844,Registered
807099274,Guest
965709565,Registered
88184777,Registered
95185866,Registered
845127288,Registered
558143144,Registered
56888209,Registered
768609608,Registered
963402748,Guest
650274183,Registered
774917780,Registered
228083364,Registered
482885141,Registered
422610989,Registered
300441736,Registered
13373457,Registered
845625523,Registered
423000581,Registered
292088815,Registered
121349027,Registered
384449853,Registered
317522956,Guest
516099577,Registered
337731313,Registered
634004755,Registered
130255625,Guest
904367784,Guest
703498299,Guest
115713157,Registered
895496306,Registered
187296021,Registered
643578375,Registered
150644319,Registered
639734860,Registered
710555576,Registered
136570847,Registered
464375185,Registered
50584686,Guest
140027415,Registered
860893174,Registered
935713866,Registered
970966558,Registered
49468347,Registered
50734481,Registered
517751730,Guest
54039266,Registered
82025587,Registered
188240332,Guest
973376444,Registered
589212061,Registered
874094268,Registered
561101721,Guest
272063970,Guest
590435504,Guest
480568750,Registered
415712029,Guest
568281426,Guest
866783317,Registered
941056622,Guest
701838114,Registered
295141121,Registered
540918270,Guest
154225820,Registered
280154074,Guest
842592052,Guest
457659183,Guest
252918823,Registered
685243581,Guest
236918311,Registered
313948189,Registered
430307321,Registered
939903080,Registered
706550755,Registered
660764848,Registered
16212188,Registered
53061476,Registered
430016554,Guest
617746815,Guest
482171443,Registered
217119154,Registered
300392,Registered
578608159,Registered
787967467,Guest
215657371,Registered
992900280,Registered
334250991,Registered
216766601,Registered
733849897,Registered
644025252,Registered
854969186,Guest
901713428,Guest
58840072,Guest
232061390,Registered
321534508,Registered
581826003,Registered
660336122,Registered
844766424,Guest
395821677,Guest
882785661,Registered
616038374,Registered
73744846,Registered
581338622,Guest
951480231,Registered
523084985,Guest
956517701,Guest
877796787,Guest
652771781,Guest
961476360,Registered
664064740,Registered
20256569,Guest
218400285,Registered
833568253,Registered
518823102,Registered
795474315,Registered
713990511,Registered
424728563,Registered
725885753,Guest
334207853,Registered
602594265,Guest
866868153,Registered
322119669,Registered
386332249,Guest
281817888,Guest
385003377,Registered
160890949,Guest
46785833,Registered
142054945,Guest
6968485,Registered
351066792,Guest
78059124,Registered
628097643,Registered
628104007,Guest
412225770,Registered
506871976,Registered
537277332,Registered
27127361,Guest
874355586,Registered
701497815,Registered
66249473,Registered
245383996,Registered
57185410,Guest
531675727,Guest
300752286,Registered
618630727,Registered
998465053,Guest
797710961,Registered
153213153,Registered
272462243,Guest
866167329,Guest
515002520,Guest
269163425,Registered
98755982,Guest
189385031,Guest
829183791,Guest
633951527,Registered
341099636,Registered
923717126,Registered
446880259,Guest
910795138,Guest
978343589,Guest
961984218,Guest
571692329,Registered
127181130,Registered
712696695,Registered
152770807,Registered
435729542,Guest
795481150,Registered
294552797,Registered
944337395,Registered
28277780,Registered
212360009,Registered
661495145,Registered
187225613,Registered
719226372,Guest
60127761,Registered
452302826,Registered
535936216,Registered
335677672,Registered
550738029,Registered
759160991,Registered
938153095,Guest
942619482,Guest
662700246,Registered
606316979,Registered
865373849,Registered
943248538,Guest
942167286,Registered
542523021,Registered
870066015,Registered
989338630,Registered
108504982,Guest
617651624,Guest
947171765,Registered
47111984,Registered
346101333,Registered
937724645,Registered
686567226,Guest
737772797,Registered
594881080,Registered
104253573,Registered
66724630,Registered
637358337,Registered
803219670,Guest
605363637,Registered
230713215,Registered
117516992,Registered
21239642,Guest
663450777,Registered
838965064,Registered
590199217,Guest
626195409,Registered
248691108,Registered
126343107,Registered
693852262,Registered
895592478,Registered
151810231,Guest
732294403,Guest
680087247,Registered
989208626,Registered
601441328,Registered
25950573,Registered
17638015,Registered
6282807,Registered
15920052,Registered
318679049,Registered
955936341,Registered
476675729,Registered
108623953,Guest
11663947,Guest
491995243,Guest
152315723,Guest
825439728,Registered
656527409,Registered
650220120,Registered
67607855,Guest
187534486,Guest
637739327,Guest
178006751,Registered
829108703,Registered
936679834,Guest
759871046,Guest
593512051,Registered
592855598,Guest
607337255,Registered
669389960,Registered
452788236,Guest
844623286,Registered
971879615,Registered
543471719,Registered
417758066,Guest
407634176,Registered
779668714,Registered
411299337,Registered
857419685,Registered
321342956,Guest
395197238,Registered
317462871,Guest
818035215,Registered
181339628,Registered
988354389,Guest
602773185,Registered
947071186,Registered
829604568,Registered
521654920,Guest
315539120,Guest
316418220,Guest
56787254,Registered
477490491,Registered
140161338,Registered
746342799,Guest
647296626,Registered
896417030,Registered
200744965,Registered
644169928,Guest
605744257,Registered
467657621,Registered
237698057,Guest
770562946,Guest
600884355,Registered
746942593,Registered
617771324,Registered
328288159,Registered
707485806,Registered
523759411,Registered
449654238,Registered
41423219,Registered
450132974,Guest
592848362,Registered
182053830,Registered
500991719,Guest
393446692,Guest
526945609,Registered
977944829,Guest
174464133,Registered
169192406,Registered
780633602,Registered
338157707,Registered
775904719,Guest
569000949,Registered
235891219,Registered
292484120,Guest
90934781,Guest
974017521,Guest
702049399,Registered
897035504,Registered
35071157,Registered
159617805,Guest
157852280,Registered
600259872,Guest
70462011,Guest
622848577,Registered
542293335,Registered
180981453,Guest
516394777,Guest
484631098,Guest
876875799,Guest
526254462,Guest
66964043,Registered
684071544,Registered
712605203,Registered
142522701,Registered
406223192,Guest
261346344,Guest
560022842,Guest
613234822,Deleted Account
361183858,Registered
487556182,Registered
84902861,Registered
869758081,Guest
